division,weight_pct,source
Alimentos y bebidas no alcohólicas,27.00,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
Bebidas alcohólicas y tabaco,3.49,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
Prendas de vestir y calzado,9.92,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
"Vivienda, agua, electricidad, gas y otros combustibles",9.41,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
Equipamiento y mantenimiento del hogar,6.37,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
Salud,8.01,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
Transporte,11.00,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
Comunicación,2.82,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
Recreación y cultura,7.26,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
Educación,2.32,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
Restaurantes y hoteles,8.98,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
Bienes y servicios varios,3.53,INDEC Metodología N 32 base dic-2016; national = Cuadro 6 region shares x Cuadro 7 regional weights
