date,series,value,source,retrieved_at
2022-01-01,rem_infl_12m,55.8,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2022-02-01,rem_infl_12m,54.8,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2022-03-01,rem_infl_12m,56.6,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2022-04-01,rem_infl_12m,56.2,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2022-05-01,rem_infl_12m,62.1,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2022-06-01,rem_infl_12m,71.3,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2022-07-01,rem_infl_12m,85.7,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2022-08-01,rem_infl_12m,90.0,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2022-09-01,rem_infl_12m,95.0,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2022-10-01,rem_infl_12m,99.6,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2022-11-01,rem_infl_12m,100.0,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2022-12-01,rem_infl_12m,94.7,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-01-01,rem_infl_12m,95.0,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-02-01,rem_infl_12m,98.4,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-03-01,rem_infl_12m,113.1,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-04-01,rem_infl_12m,142.2,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-05-01,rem_infl_12m,179.2,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-06-01,rem_infl_12m,162.7,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-07-01,rem_infl_12m,160.0,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-08-01,rem_infl_12m,197.1,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-09-01,rem_infl_12m,193.9,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-10-01,rem_infl_12m,202.7,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-11-01,rem_infl_12m,237.4,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2023-12-01,rem_infl_12m,243.4,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-01-01,rem_infl_12m,185.5,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-02-01,rem_infl_12m,142.0,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-03-01,rem_infl_12m,112.3,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-04-01,rem_infl_12m,81.3,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-05-01,rem_infl_12m,65.6,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-06-01,rem_infl_12m,61.1,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-07-01,rem_infl_12m,47.5,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-08-01,rem_infl_12m,41.8,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-09-01,rem_infl_12m,39.4,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-10-01,rem_infl_12m,31.8,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-11-01,rem_infl_12m,27.9,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2024-12-01,rem_infl_12m,24.8,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-01-01,rem_infl_12m,22.0,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-02-01,rem_infl_12m,21.8,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-03-01,rem_infl_12m,24.4,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-04-01,rem_infl_12m,24.4,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-05-01,rem_infl_12m,21.6,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-06-01,rem_infl_12m,21.08221905668179,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-07-01,rem_infl_12m,20.57552529929975,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-08-01,rem_infl_12m,20.30491953389402,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-09-01,rem_infl_12m,21.9,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-10-01,rem_infl_12m,20.6,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-11-01,rem_infl_12m,20.0,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2025-12-01,rem_infl_12m,20.52,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2026-01-01,rem_infl_12m,19.9,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2026-02-01,rem_infl_12m,21.85954688792685,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2026-03-01,rem_infl_12m,23.6,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2026-04-01,rem_infl_12m,24.26203781121477,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
2026-05-01,rem_infl_12m,23.26405879593121,"BCRA REM (median, next 12 months)",2026-06-13T15:27:04
